Browser,Timestamp,Power(mW)
Safari,1771803273,1486
Safari,1771803274,4647
Safari,1771803275,329
Safari,1771803276,944
Safari,1771803277,351
Safari,1771803278,397
Safari,1771803279,832
Safari,1771803280,401
Safari,1771803281,346
Safari,1771803282,456
Safari,1771803283,341
Safari,1771803284,295
Safari,1771803285,245
Safari,1771803286,890
Safari,1771803287,305
Safari,1771803288,3138
Safari,1771803289,1942
Safari,1771803290,2505
Safari,1771803291,1161
Safari,1771803292,668
Safari,1771803293,2978
Safari,1771803294,1704
Safari,1771803295,1675
Safari,1771803296,2209
Safari,1771803297,1536
Safari,1771803298,2598
Safari,1771803299,1534
Safari,1771803300,865
Safari,1771803302,1225
Safari,1771803303,663
Safari,1771803304,311
Safari,1771803305,211
Safari,1771803306,232
Safari,1771803307,824
Safari,1771803308,2185
Safari,1771803309,4132
Safari,1771803310,953
Safari,1771803311,482
Safari,1771803312,1801
Safari,1771803313,750
Safari,1771803314,275
Safari,1771803315,203
Safari,1771803316,499
Safari,1771803317,965
Safari,1771803318,3360
Safari,1771803319,2341
Safari,1771803320,673
Safari,1771803321,1750
Safari,1771803322,580
Safari,1771803323,3298
Safari,1771803324,870
Safari,1771803325,234
Safari,1771803326,214
Safari,1771803327,1965
Safari,1771803328,2454
Safari,1771803329,370
Safari,1771803330,294
Safari,1771803331,606
Safari,1771803332,289
Safari,1771803333,351
Safari,1771803334,145
Safari,1771803335,273
Safari,1771803336,599
Safari,1771803337,1458
Safari,1771803338,1970
Safari,1771803339,936
Safari,1771803340,194
Safari,1771803341,562
Safari,1771803342,260
Safari,1771803343,275
Safari,1771803344,534
Safari,1771803345,157
Safari,1771803346,780
Safari,1771803347,2320
Safari,1771803348,2828
Safari,1771803350,7498
Safari,1771803351,7407
Safari,1771803352,2917
Safari,1771803353,2547
Safari,1771803354,1117
Safari,1771803355,449
Safari,1771803356,370
Safari,1771803357,1059
Safari,1771803358,2536
Safari,1771803359,1742
Safari,1771803360,393
Safari,1771803361,569
Safari,1771803362,787
Safari,1771803363,414
Safari,1771803364,343
Safari,1771803365,318
Safari,1771803366,266
Safari,1771803367,846
Safari,1771803368,1129
Safari,1771803369,698
Safari,1771803370,233
Safari,1771803371,177
Safari,1771803372,250
Safari,1771803373,200
Safari,1771803374,254
Safari,1771803375,215
Safari,1771803376,152
Safari,1771803377,1718
Safari,1771803378,168
Safari,1771803379,273
Safari,1771803380,327
Safari,1771803381,223
Safari,1771803382,224
Safari,1771803383,633
Safari,1771803384,565
Safari,1771803385,246
Safari,1771803386,236
Safari,1771803387,712
Safari,1771803388,1444
Safari,1771803389,345
Brave,1771803427,1902
Brave,1771803428,1719
Brave,1771803429,1832
Brave,1771803430,1282
Brave,1771803431,1205
Brave,1771803432,2790
Brave,1771803433,2784
Brave,1771803434,1964
Brave,1771803435,834
Brave,1771803436,130
Brave,1771803437,1420
Brave,1771803439,451
Brave,1771803440,151
Brave,1771803441,380
Brave,1771803442,560
Brave,1771803443,515
Brave,1771803444,2978
Brave,1771803445,3534
Brave,1771803446,2064
Brave,1771803447,2670
Brave,1771803448,3484
